poverty_female,poverty_male,poverty_family,Year
0.0,19.0,0.0,2018
546.0,645.0,130.0,2018
125.0,128.0,27.0,2018
205.0,83.0,75.0,2018
184.0,89.0,35.0,2018
460.0,673.0,216.0,2018
920.0,534.0,257.0,2018
403.0,275.0,96.0,2018
441.0,339.0,111.0,2018
255.0,125.0,47.0,2018
119.0,78.0,0.0,2018
330.0,214.0,104.0,2018
112.0,117.0,93.0,2018
1637.0,1487.0,525.0,2018
2352.0,1936.0,728.0,2018
3881.0,3046.0,1357.0,2018
4557.0,3513.0,1548.0,2018
1351.0,666.0,417.0,2018
556.0,659.0,183.0,2018
1000.0,656.0,236.0,2018
1908.0,1834.0,379.0,2018
3009.0,2393.0,674.0,2018
67.0,55.0,15.0,2018
51.0,70.0,19.0,2018
753.0,550.0,178.0,2018
3186.0,2193.0,1011.0,2018
46.0,23.0,18.0,2018
123.0,191.0,78.0,2018
465.0,308.0,65.0,2018
348.0,294.0,114.0,2018
316.0,141.0,93.0,2018
0.0,0.0,0.0,2018
46.0,29.0,21.0,2018
73.0,80.0,23.0,2018
569.0,274.0,130.0,2018
0.0,0.0,0.0,2018
140.0,83.0,14.0,2018
135.0,109.0,39.0,2018
275.0,118.0,81.0,2018
680.0,471.0,268.0,2018
1552.0,923.0,454.0,2018
284.0,264.0,147.0,2018
28.0,30.0,13.0,2018
1361.0,1186.0,448.0,2018
588.0,430.0,104.0,2018
95.0,47.0,34.0,2018
228.0,139.0,52.0,2018
120.0,112.0,80.0,2018
144.0,124.0,42.0,2018
263.0,289.0,90.0,2018
332.0,82.0,65.0,2018
1456.0,872.0,445.0,2018
712.0,337.0,209.0,2018
686.0,716.0,215.0,2018
690.0,517.0,222.0,2018
629.0,249.0,140.0,2018
1279.0,1041.0,355.0,2018
46.0,37.0,12.0,2018
2080.0,1618.0,723.0,2018
1842.0,1378.0,730.0,2018
144.0,61.0,23.0,2018
94.0,75.0,35.0,2018
606.0,666.0,240.0,2018
1084.0,739.0,325.0,2018
6786.0,5294.0,2666.0,2018
2438.0,2314.0,957.0,2018
2293.0,2304.0,928.0,2018
719.0,676.0,203.0,2018
1329.0,2053.0,717.0,2018
2692.0,2444.0,1023.0,2018
3454.0,3310.0,1161.0,2018
3768.0,2992.0,957.0,2018
218.0,169.0,57.0,2018
92.0,298.0,32.0,2018
324.0,129.0,94.0,2018
249.0,203.0,77.0,2018
436.0,372.0,164.0,2018
1048.0,734.0,353.0,2018
546.0,256.0,196.0,2018
612.0,435.0,129.0,2018
328.0,284.0,143.0,2018
280.0,300.0,112.0,2018
295.0,256.0,114.0,2018
316.0,218.0,79.0,2018
5681.0,4245.0,1824.0,2018
657.0,472.0,148.0,2018
2436.0,2099.0,902.0,2018
1452.0,1207.0,532.0,2018
321.0,117.0,69.0,2018
56.0,54.0,26.0,2018
539.0,529.0,160.0,2018
1835.0,1336.0,452.0,2018
108.0,61.0,44.0,2018
188.0,128.0,81.0,2018
922.0,594.0,297.0,2018
114.0,114.0,36.0,2018
1618.0,1056.0,431.0,2018
37.0,84.0,0.0,2018
639.0,306.0,141.0,2018
156.0,113.0,61.0,2018
133.0,75.0,27.0,2018
577.0,391.0,177.0,2018
210.0,120.0,60.0,2018
551.0,377.0,157.0,2018
117.0,45.0,31.0,2018
494.0,200.0,114.0,2018
3227.0,1995.0,1063.0,2018
349.0,181.0,110.0,2018
125.0,141.0,63.0,2018
4190.0,2057.0,1247.0,2018
441.0,368.0,181.0,2018
108.0,206.0,60.0,2018
53.0,9.0,3.0,2018
161.0,148.0,65.0,2018
359.0,221.0,99.0,2018
769.0,387.0,246.0,2018
216.0,143.0,59.0,2018
782.0,391.0,122.0,2018
35.0,21.0,0.0,2018
178.0,163.0,51.0,2018
620.0,351.0,128.0,2018
620.0,651.0,191.0,2018
660.0,388.0,143.0,2018
244.0,196.0,65.0,2018
0.0,0.0,0.0,2018
414.0,287.0,76.0,2018
1221.0,820.0,412.0,2018
222.0,194.0,111.0,2018
476.0,272.0,180.0,2018
104.0,68.0,26.0,2018
119.0,64.0,37.0,2018
185.0,169.0,41.0,2018
1459.0,857.0,484.0,2018
395.0,244.0,125.0,2018
174.0,177.0,55.0,2018
15.0,15.0,15.0,2018
1188.0,878.0,438.0,2018
451.0,242.0,143.0,2018
214.0,169.0,56.0,2018
200.0,223.0,26.0,2018
189.0,211.0,0.0,2018
164.0,354.0,0.0,2018
145.0,79.0,14.0,2018
980.0,677.0,218.0,2018
